Path,Folder,File,Date,Daily Goal,Goal,Start Count,End Count
Short stories/War in the attic.md,,War in the attic.md,Tue Aug 27 2024 00:00:00 GMT+0200,300,10000,5759,5759
Short stories/War in the attic.md,,War in the attic.md,Wed Aug 28 2024 00:00:00 GMT+0200,300,10000,5759,5759
Short stories/War in the attic.md,,War in the attic.md,Thu Aug 29 2024 00:00:00 GMT+0200,300,10000,5759,5759
Short stories/War in the attic.md,,War in the attic.md,Fri Aug 30 2024 00:00:00 GMT+0200,300,10000,5758,5916
Short stories/War in the attic.md,,War in the attic.md,Sat Aug 31 2024 00:00:00 GMT+0200,300,10000,5916,5916
Short stories/War in the attic.md,,War in the attic.md,Sun Sep 01 2024 00:00:00 GMT+0200,300,10000,5916,5916
Short stories/War in the attic.md,,War in the attic.md,Mon Sep 02 2024 00:00:00 GMT+0200,300,10000,5916,6344
Short stories/War in the attic.md,,War in the attic.md,Tue Sep 03 2024 00:00:00 GMT+0200,300,10000,6344,6403
Short stories/War in the attic.md,,War in the attic.md,Wed Sep 04 2024 00:00:00 GMT+0200,300,10000,6402,6649
Short stories/War in the attic.md,,War in the attic.md,Thu Sep 05 2024 00:00:00 GMT+0200,300,10000,6646,6651
Short stories/War in the attic.md,,War in the attic.md,Fri Sep 06 2024 00:00:00 GMT+0200,300,10000,6651,6824
Short stories/War in the attic.md,,War in the attic.md,Sat Sep 07 2024 00:00:00 GMT+0200,300,10000,6824,6824
Short stories/War in the attic.md,,War in the attic.md,Sun Sep 08 2024 00:00:00 GMT+0200,300,10000,6824,6824
Short stories/War in the attic.md,,War in the attic.md,Mon Sep 09 2024 00:00:00 GMT+0200,300,10000,7221,7308
Short stories/War in the attic.md,,War in the attic.md,Tue Sep 10 2024 00:00:00 GMT+0200,300,10000,7308,7334
Short stories/War in the attic.md,,War in the attic.md,Wed Sep 11 2024 00:00:00 GMT+0200,300,10000,7332,7407
Short stories/War in the attic.md,,War in the attic.md,Thu Sep 12 2024 00:00:00 GMT+0200,300,10000,7407,7407
Short stories/War in the attic.md,,War in the attic.md,Fri Sep 13 2024 00:00:00 GMT+0200,300,10000,7407,7459
Short stories/War in the attic.md,,War in the attic.md,Sat Sep 14 2024 00:00:00 GMT+0200,300,10000,7459,7633
Short stories/War in the attic.md,,War in the attic.md,Sun Sep 15 2024 00:00:00 GMT+0200,300,10000,7536,7773
Short stories/War in the attic.md,,War in the attic.md,Mon Sep 16 2024 00:00:00 GMT+0200,300,10000,7773,7777
Short stories/War in the attic.md,,War in the attic.md,Tue Sep 17 2024 00:00:00 GMT+0200,300,10000,7777,7777
Short stories/War in the attic.md,,War in the attic.md,Wed Sep 18 2024 00:00:00 GMT+0200,300,10000,7633,7831
Short stories/War in the attic.md,,War in the attic.md,Thu Sep 19 2024 00:00:00 GMT+0200,300,10000,7831,7862
Short stories/War in the attic.md,,War in the attic.md,Fri Sep 20 2024 00:00:00 GMT+0200,300,10000,7855,7868
Short stories/War in the attic.md,,War in the attic.md,Sat Sep 21 2024 00:00:00 GMT+0200,300,10000,7868,8053
Short stories/War in the attic.md,,War in the attic.md,Sun Sep 22 2024 00:00:00 GMT+0200,300,10000,8051,8103
Short stories/War in the attic.md,,War in the attic.md,Mon Sep 23 2024 00:00:00 GMT+0200,300,10000,8053,8196
Short stories/War in the attic.md,,War in the attic.md,Tue Sep 24 2024 00:00:00 GMT+0200,300,10000,8154,8178
Short stories/Unconventional healing powers.md,,Unconventional healing powers.md,Tue Aug 27 2024 00:00:00 GMT+0200,0,500,382,382
Short stories/Unconventional healing powers.md,,Unconventional healing powers.md,Wed Aug 28 2024 00:00:00 GMT+0200,0,500,382,382
Short stories/Unconventional healing powers.md,,Unconventional healing powers.md,Thu Aug 29 2024 00:00:00 GMT+0200,0,500,382,382
